epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,561.167,1.48388,2.95115,1.02198,1.26269,0,0.79453,0.68235,0.73528,0.4287,0.75281,0.68235,0.65782,0.18347,1.57602,3.09748,1.08487,1.41112,0,0.007228,0.007228,0.007228
30,580.84,1.46945,3.00979,0.99349,1.26592,0,0.83192,0.74118,0.77482,0.43947,0.72148,0.64706,0.61787,0.18735,1.62667,3.03404,1.14118,1.44939,0,0.007129,0.007129,0.007129
31,600.516,1.43322,2.93597,0.99477,1.26085,0,0.85866,0.71474,0.78392,0.37839,0.5937,0.58452,0.53954,0.1356,1.79736,3.25729,1.12715,1.50899,0,0.00703,0.00703,0.00703
32,620.102,1.53051,3.02662,1.06916,1.32927,0,0.75058,0.67059,0.73526,0.37141,0.58305,0.4,0.35946,0.09801,1.73437,3.43435,1.20781,1.51936,0,0.006931,0.006931,0.006931
33,639.783,1.44214,2.99814,0.96345,1.27042,0,0.87063,0.7918,0.84775,0.46443,0.7348,0.48235,0.53619,0.15794,1.5537,3.13257,1.02283,1.41769,0,0.006832,0.006832,0.006832
34,659.6,1.45222,2.8901,1.00339,1.27807,0,0.85365,0.8,0.84388,0.48657,0.73188,0.68235,0.62951,0.19524,1.50921,3.00301,0.98588,1.38339,0,0.006733,0.006733,0.006733
35,679.535,1.41169,2.90616,0.94003,1.26012,0,0.81983,0.69593,0.78723,0.40554,0.80369,0.63529,0.67973,0.19417,1.60715,3.08098,1.14339,1.4227,0,0.006634,0.006634,0.006634
36,698.681,1.39521,2.89668,0.94547,1.25436,0,0.85323,0.75231,0.81343,0.48527,0.78265,0.63544,0.63091,0.19892,1.55539,3.11851,1.07046,1.3908,0,0.006535,0.006535,0.006535
37,717.737,1.36825,2.82339,0.91184,1.21096,0,0.894,0.68235,0.78306,0.49002,0.83501,0.63529,0.68823,0.22513,1.46862,3.06284,1.10389,1.36768,0,0.006436,0.006436,0.006436
38,736.89,1.49741,2.94428,1.04614,1.25203,0,0.92754,0.75293,0.86401,0.49997,0.82806,0.67995,0.70244,0.21128,1.47426,3.03365,0.93487,1.37614,0,0.006337,0.006337,0.006337
39,756.233,1.40871,2.9598,0.92576,1.23563,0,0.87275,0.74118,0.83756,0.49187,0.75692,0.64706,0.66087,0.20122,1.5568,3.07287,0.97759,1.39494,0,0.006238,0.006238,0.006238
40,775.319,1.43668,2.88553,0.95555,1.23771,0,0.86544,0.69412,0.79318,0.46554,0.6862,0.64319,0.6094,0.19392,1.4856,3.00993,1.07739,1.37493,0,0.006139,0.006139,0.006139
41,794.046,1.34513,2.72447,0.87722,1.2065,0,0.85231,0.71765,0.81756,0.43722,0.74349,0.62353,0.61736,0.15966,1.62767,3.10787,1.11224,1.43257,0,0.00604,0.00604,0.00604
42,812.938,1.35767,2.84552,0.89604,1.209,0,0.83877,0.74118,0.78377,0.4417,0.749,0.67059,0.63617,0.18114,1.49819,2.98635,1.07457,1.39611,0,0.005941,0.005941,0.005941
43,832.047,1.38392,2.82223,0.9048,1.22291,0,0.89213,0.78824,0.8159,0.46323,0.75182,0.67059,0.64023,0.18798,1.47401,3.00201,1.04416,1.3729,0,0.005842,0.005842,0.005842
44,851.174,1.34216,2.85805,0.84945,1.18023,0,0.907,0.75294,0.7906,0.46741,0.78131,0.64706,0.63248,0.17558,1.4756,3.14197,1.11152,1.37051,0,0.005743,0.005743,0.005743
45,870.097,1.37948,2.806,0.93193,1.22978,0,0.88785,0.74512,0.80994,0.46722,0.76899,0.67059,0.62277,0.1879,1.43578,2.99797,1.10166,1.33778,0,0.005644,0.005644,0.005644
46,888.905,1.32522,2.8397,0.87987,1.18392,0,0.89853,0.68235,0.77142,0.43638,0.71815,0.56959,0.5342,0.14953,1.55675,3.19172,1.14578,1.397,0,0.005545,0.005545,0.005545
47,907.944,1.266,2.68787,0.82508,1.16634,0,0.83615,0.78824,0.77639,0.46728,0.74575,0.68235,0.62758,0.20121,1.49068,3.12715,1.07233,1.34048,0,0.005446,0.005446,0.005446
48,927.07,1.32658,2.79922,0.8252,1.18473,0,0.87693,0.75447,0.80487,0.45946,0.82208,0.63529,0.63186,0.20004,1.54759,3.10169,0.97673,1.38512,0,0.005347,0.005347,0.005347
49,946.087,1.33256,2.7691,0.84551,1.17925,0,0.9283,0.76164,0.81947,0.48957,0.82571,0.69412,0.65972,0.22022,1.50978,3.06777,0.93586,1.37256,0,0.005248,0.005248,0.005248
50,964.943,1.35342,2.81962,0.8665,1.21482,0,0.96605,0.77647,0.87501,0.48121,0.82405,0.65882,0.62283,0.18992,1.51107,3.01826,0.9607,1.38918,0,0.005149,0.005149,0.005149
51,984.564,1.2943,2.79448,0.93656,1.18319,0,0.88083,0.78263,0.8501,0.48973,0.71676,0.56471,0.51407,0.15557,1.45577,3.08745,0.95974,1.31177,0,0.00505,0.00505,0.00505
52,1003.89,1.36443,2.84645,0.88035,1.19404,0,0.92451,0.78824,0.86317,0.47955,0.799,0.60799,0.58668,0.15642,1.53122,3.09678,0.959,1.36507,0,0.004951,0.004951,0.004951
53,1023.08,1.26067,2.7164,0.82069,1.15638,0,0.98455,0.74959,0.85356,0.48922,0.82319,0.61176,0.62583,0.20732,1.50259,3.06284,0.95456,1.35159,0,0.004852,0.004852,0.004852
54,1042.36,1.23893,2.67585,0.78514,1.14334,0,0.88187,0.70588,0.80461,0.46442,0.76951,0.61176,0.6058,0.16518,1.55358,3.1132,1.04967,1.38699,0,0.004753,0.004753,0.004753
55,1061.33,1.34717,2.74038,0.81736,1.19911,0,0.9286,0.8,0.87506,0.5298,0.83306,0.64579,0.65611,0.234,1.3993,2.92165,0.90369,1.27483,0,0.004654,0.004654,0.004654
