epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,1720.54,1.33253,2.71669,0.94742,1.28847,0,0.92321,0.78824,0.8627,0.49886,0.77321,0.64181,0.65246,0.22711,1.41274,2.92791,0.87484,1.38722,0,0.00538,0.00538,0.00538
30,1779.95,1.31394,2.72305,0.90217,1.27281,0,0.89908,0.8,0.84564,0.49148,0.80287,0.71765,0.72869,0.23203,1.37518,2.84645,0.91859,1.38612,0,0.005215,0.005215,0.005215
31,1839.63,1.31687,2.64072,0.88953,1.27075,0,0.86572,0.75294,0.82842,0.49354,0.75303,0.62353,0.62152,0.19648,1.40494,2.95131,0.88194,1.42056,0,0.00505,0.00505,0.00505
32,1898.98,1.30634,2.65669,0.89745,1.26489,0,0.85136,0.75294,0.83514,0.44528,0.67655,0.6,0.59309,0.17615,1.41561,2.89698,0.92692,1.43024,0,0.004885,0.004885,0.004885
33,1958.22,1.29999,2.63625,0.88237,1.26701,0,0.85906,0.77647,0.79751,0.45771,0.75238,0.69412,0.65201,0.19085,1.40001,2.90563,0.97249,1.43345,0,0.00472,0.00472,0.00472
34,2017.51,1.28845,2.60337,0.88474,1.25571,0,0.95587,0.76441,0.88749,0.51184,0.76407,0.63529,0.67835,0.22902,1.29984,2.80367,0.85568,1.33463,0,0.004555,0.004555,0.004555
35,2076.67,1.25527,2.60413,0.85169,1.2287,0,0.85357,0.82297,0.89127,0.52101,0.79304,0.63116,0.67708,0.24538,1.3126,2.80055,0.83344,1.36845,0,0.00439,0.00439,0.00439
36,2136.34,1.24936,2.60068,0.84096,1.23243,0,0.91716,0.78151,0.8866,0.48958,0.77259,0.63529,0.69039,0.21952,1.36106,2.81092,0.79886,1.40857,0,0.004225,0.004225,0.004225
37,2195.7,1.23588,2.56284,0.83742,1.20994,0,0.85769,0.77998,0.82519,0.48097,0.72875,0.66381,0.63365,0.20132,1.34208,2.90778,0.86563,1.37285,0,0.00406,0.00406,0.00406
38,2255.24,1.21365,2.55136,0.81856,1.20066,0,0.89308,0.78615,0.8491,0.51114,0.73144,0.65882,0.60993,0.20354,1.35405,2.91983,0.82218,1.41284,0,0.003895,0.003895,0.003895
39,2314.55,1.19756,2.52583,0.79857,1.20563,0,0.89385,0.76471,0.86204,0.51096,0.77056,0.63529,0.62033,0.23279,1.34378,2.88868,0.83607,1.37681,0,0.00373,0.00373,0.00373
40,2373.86,1.17211,2.47158,0.78345,1.18072,0,0.91194,0.81176,0.88265,0.49471,0.7844,0.69412,0.6342,0.20776,1.30324,2.88453,0.78883,1.39075,0,0.003565,0.003565,0.003565
41,2433.63,1.17795,2.50634,0.77607,1.18081,0,0.9158,0.76779,0.86071,0.5016,0.80235,0.66865,0.68072,0.226,1.34894,2.81074,0.7942,1.4123,0,0.0034,0.0034,0.0034
42,2493.48,1.14396,2.45914,0.75254,1.16706,0,0.92993,0.7807,0.86892,0.50434,0.71469,0.68235,0.61571,0.21096,1.35854,2.93305,0.81774,1.39619,0,0.003235,0.003235,0.003235
43,2552.86,1.14005,2.4436,0.71971,1.1535,0,0.87372,0.83529,0.81904,0.49751,0.72605,0.69412,0.61615,0.20625,1.34375,2.87356,0.75351,1.353,0,0.00307,0.00307,0.00307
44,2611.95,1.12559,2.40615,0.7147,1.15151,0,0.87435,0.82353,0.8522,0.53769,0.73176,0.67402,0.65825,0.22761,1.26538,2.93835,0.72412,1.32262,0,0.002905,0.002905,0.002905
45,2671.19,1.09978,2.38653,0.70321,1.14552,0,0.89214,0.81176,0.85888,0.51895,0.74469,0.63529,0.63218,0.22513,1.2939,2.99343,0.78655,1.35034,0,0.00274,0.00274,0.00274
46,2734.9,1.01579,2.2202,0.65275,1.10881,0,0.92769,0.78824,0.89247,0.5183,0.79934,0.61176,0.66737,0.22476,1.32007,2.84836,0.73256,1.34287,0,0.002575,0.002575,0.002575
47,2794.7,0.98505,2.18604,0.61745,1.08583,0,0.8249,0.85882,0.85561,0.53402,0.70017,0.72941,0.65747,0.23704,1.29892,2.99429,0.74399,1.32582,0,0.00241,0.00241,0.00241
48,2854.57,0.96175,2.161,0.60602,1.0764,0,0.92343,0.81176,0.87088,0.50355,0.78949,0.70597,0.67306,0.23537,1.34433,2.92732,0.74547,1.37983,0,0.002245,0.002245,0.002245
49,2914.43,0.9468,2.11454,0.60448,1.06286,0,0.86761,0.77101,0.84183,0.51782,0.77034,0.64706,0.65435,0.23197,1.37626,3.02337,0.75889,1.39565,0,0.00208,0.00208,0.00208
50,2974.31,0.92849,2.09093,0.59561,1.05146,0,0.92807,0.78824,0.89178,0.52839,0.78823,0.67059,0.65022,0.23134,1.34948,3.02551,0.7584,1.37825,0,0.001915,0.001915,0.001915
51,3034.25,0.94881,2.07064,0.58802,1.06198,0,0.89398,0.79367,0.84397,0.52324,0.76151,0.6762,0.64811,0.23079,1.3255,2.99116,0.74281,1.41092,0,0.00175,0.00175,0.00175
52,3094.24,0.91859,2.08044,0.57518,1.05668,0,0.90338,0.78824,0.84687,0.52031,0.80934,0.70588,0.71526,0.24271,1.32163,2.93331,0.74835,1.38109,0,0.001585,0.001585,0.001585
53,3154.33,0.90508,2.05795,0.56759,1.03059,0,0.88887,0.8,0.85534,0.52585,0.7591,0.68235,0.66486,0.23999,1.32043,3.0378,0.7361,1.38442,0,0.00142,0.00142,0.00142
54,3214.28,0.88296,2.00603,0.54236,1.03934,0,0.91956,0.80698,0.85863,0.51196,0.79898,0.70145,0.68417,0.2445,1.2887,2.99044,0.69325,1.38014,0,0.001255,0.001255,0.001255
55,3274.47,0.89184,2.02549,0.54115,1.03118,0,0.90411,0.77645,0.81304,0.50463,0.78017,0.67059,0.64801,0.23082,1.32995,3.06115,0.77546,1.38432,0,0.00109,0.00109,0.00109
56,3334.46,0.8396,1.9918,0.52975,1.00925,0,0.91743,0.78438,0.83912,0.53052,0.78015,0.66801,0.66031,0.25103,1.30229,3.13203,0.74618,1.37226,0,0.000925,0.000925,0.000925
57,3395.54,0.84119,1.97744,0.52307,1.0143,0,0.89464,0.79919,0.82213,0.51196,0.80207,0.71765,0.70524,0.24347,1.36626,3.10246,0.76563,1.39424,0,0.00076,0.00076,0.00076
58,3455.45,0.82671,1.97391,0.51339,1.00438,0,0.90655,0.79892,0.85112,0.51323,0.74466,0.70588,0.66556,0.24328,1.32539,3.06113,0.7407,1.38419,0,0.000595,0.000595,0.000595
59,3515.49,0.80506,1.96155,0.48987,0.99707,0,0.87744,0.83529,0.85568,0.516,0.74033,0.70588,0.66528,0.24769,1.33727,3.04687,0.72772,1.37017,0,0.00043,0.00043,0.00043
60,3575.75,0.8125,1.94289,0.49897,1.0036,0,0.89708,0.82042,0.85914,0.5163,0.80739,0.72941,0.71828,0.26011,1.32751,3.02374,0.71229,1.3802,0,0.000265,0.000265,0.000265
